ticker,market,yahoo_ticker,name
005930,KOSPI,005930.KS,삼성전자
000660,KOSPI,000660.KS,SK하이닉스
373220,KOSPI,373220.KS,LG에너지솔루션
207940,KOSPI,207940.KS,삼성바이오로직스
012450,KOSPI,012450.KS,한화에어로스페이스
005935,KOSPI,005935.KS,삼성전자우
005380,KOSPI,005380.KS,현대차
000270,KOSPI,000270.KS,기아
105560,KOSPI,105560.KS,KB금융
329180,KOSPI,329180.KS,HD현대중공업
068270,KOSPI,068270.KS,셀트리온
034020,KOSPI,034020.KS,두산에너빌리티
035420,KOSPI,035420.KS,NAVER
055550,KOSPI,055550.KS,신한지주
042660,KOSPI,042660.KS,한화오션
028260,KOSPI,028260.KS,삼성물산
012330,KOSPI,012330.KS,현대모비스
032830,KOSPI,032830.KS,삼성생명
005490,KOSPI,005490.KS,POSCO홀딩스
009540,KOSPI,009540.KS,HD한국조선해양
015760,KOSPI,015760.KS,한국전력
035720,KOSPI,035720.KS,카카오
086790,KOSPI,086790.KS,하나금융지주
011200,KOSPI,011200.KS,HMM
064350,KOSPI,064350.KS,현대로템
051910,KOSPI,051910.KS,LG화학
138040,KOSPI,138040.KS,메리츠금융지주
000810,KOSPI,000810.KS,삼성화재
402340,KOSPI,402340.KS,SK스퀘어
316140,KOSPI,316140.KS,우리금융지주
267260,KOSPI,267260.KS,HD현대일렉트릭
096770,KOSPI,096770.KS,SK이노베이션
010130,KOSPI,010130.KS,고려아연
010140,KOSPI,010140.KS,삼성중공업
006400,KOSPI,006400.KS,삼성SDI
033780,KOSPI,033780.KS,KT&G
024110,KOSPI,024110.KS,기업은행
259960,KOSPI,259960.KS,크래프톤
034730,KOSPI,034730.KS,SK
030200,KOSPI,030200.KS,KT
323410,KOSPI,323410.KS,카카오뱅크
079550,KOSPI,079550.KS,LIG넥스원
066570,KOSPI,066570.KS,LG전자
003550,KOSPI,003550.KS,LG
018260,KOSPI,018260.KS,삼성에스디에스
017670,KOSPI,017670.KS,SK텔레콤
298040,KOSPI,298040.KS,효성중공업
003670,KOSPI,003670.KS,포스코퓨처엠
009150,KOSPI,009150.KS,삼성전기
086280,KOSPI,086280.KS,현대글로비스
267250,KOSPI,267250.KS,HD현대
006800,KOSPI,006800.KS,미래에셋증권
272210,KOSPI,272210.KS,한화시스템
352820,KOSPI,352820.KS,하이브
003230,KOSPI,003230.KS,삼양식품
000100,KOSPI,000100.KS,유한양행
000150,KOSPI,000150.KS,두산
047050,KOSPI,047050.KS,포스코인터내셔널
047810,KOSPI,047810.KS,한국항공우주
005830,KOSPI,005830.KS,DB손해보험
010120,KOSPI,010120.KS,LS ELECTRIC
003490,KOSPI,003490.KS,대한항공
443060,KOSPI,443060.KS,HD현대마린솔루션
377300,KOSPI,377300.KS,카카오페이
010620,KOSPI,010620.KS,HD현대미포
042700,KOSPI,042700.KS,한미반도체
071050,KOSPI,071050.KS,한국금융지주
021240,KOSPI,021240.KS,코웨이
326030,KOSPI,326030.KS,SK바이오팜
090430,KOSPI,090430.KS,아모레퍼시픽
180640,KOSPI,180640.KS,한진칼
000720,KOSPI,000720.KS,현대건설
000880,KOSPI,000880.KS,한화
010950,KOSPI,010950.KS,S-Oil
064400,KOSPI,064400.KS,LG씨엔에스
278470,KOSPI,278470.KS,에이피알
005940,KOSPI,005940.KS,NH투자증권
032640,KOSPI,032640.KS,LG유플러스
016360,KOSPI,016360.KS,삼성증권
005387,KOSPI,005387.KS,현대차2우B
029780,KOSPI,029780.KS,삼성카드
039490,KOSPI,039490.KS,키움증권
161390,KOSPI,161390.KS,한국타이어앤테크놀로지
009830,KOSPI,009830.KS,한화솔루션
088980,KOSPI,088980.KS,맥쿼리인프라
006260,KOSPI,006260.KS,LS
241560,KOSPI,241560.KS,두산밥캣
