ticker,name,final_investment_score,risk_adjusted_score,investment_grade,current_price,wave_stage,recommendation_date
095340,ISC,87.7,87.7,A급 (적극 매수),106400.0,2단계 중기,2025-11-28
138360,협진,76.0,76.0,B급 (매수 고려),1155.0,2단계 중기,2025-11-28
067000,조이시티,71.8,71.8,B급 (매수 고려),2275.0,2단계 중기,2025-11-28
050120,ES큐브,71.1,71.1,B급 (매수 고려),3085.0,2단계 초기,2025-11-28
338220,뷰노,84.9,84.9,A급 (적극 매수),27050.0,2단계 중기,2025-11-30
194370,제이에스코퍼레이션,80.2,80.2,A급 (적극 매수),11800.0,2단계 초기,2025-11-30
250060,모비스,77.6,77.6,B급 (매수 고려),3050.0,2단계 중기,2025-11-30
002025,코오롱우,76.8,76.8,B급 (매수 고려),28100.0,2단계 중기,2025-11-30
314130,지놈앤컴퍼니,76.8,76.8,B급 (매수 고려),3925.0,2단계 중기,2025-11-30
156100,엘앤케이바이오,75.3,75.3,B급 (매수 고려),10760.0,2단계 중기,2025-11-30
223250,드림씨아이에스,73.5,73.5,B급 (매수 고려),4710.0,2단계 중기,2025-11-30
067000,조이시티,71.8,71.8,B급 (매수 고려),2275.0,2단계 중기,2025-11-30
050120,ES큐브,71.4,71.4,B급 (매수 고려),3075.0,2단계 초기,2025-11-30
194370,제이에스코퍼레이션,89.9,89.9,A급 (적극 매수),11470.0,2단계 중기,2025-12-01
353810,이지바이오,88.3,88.3,A급 (적극 매수),6540.0,2단계 중기,2025-12-01
006620,동구바이오제약,81.6,81.6,A급 (적극 매수),5950.0,2단계 중기,2025-12-01
214370,케어젠,80.0,80.0,A급 (적극 매수),81900.0,2단계 중기,2025-12-01
314130,지놈앤컴퍼니,78.4,78.4,B급 (매수 고려),3755.0,2단계 중기,2025-12-01
389500,에스비비테크,77.9,77.9,B급 (매수 고려),34050.0,2단계 중기,2025-12-01
000950,전방,77.4,77.4,B급 (매수 고려),37800.0,2단계 중기,2025-12-01
065710,서호전기,76.9,76.9,B급 (매수 고려),46650.0,2단계 중기,2025-12-01
026890,스틱인베스트먼트,75.7,75.7,B급 (매수 고려),11250.0,2단계 중기,2025-12-01
060280,큐렉소,75.4,75.4,B급 (매수 고려),12340.0,2단계 중기,2025-12-01
250060,모비스,75.1,75.1,B급 (매수 고려),3045.0,2단계 중기,2025-12-01
010400,우진아이엔에스,73.3,73.3,B급 (매수 고려),3755.0,2단계 중기,2025-12-01
293940,신한알파리츠,71.9,71.9,B급 (매수 고려),5900.0,상승추세,2025-12-01
089860,롯데렌탈,71.8,71.8,B급 (매수 고려),31750.0,상승추세,2025-12-01
067000,조이시티,71.6,71.6,B급 (매수 고려),2280.0,2단계 중기,2025-12-01
028100,동아지질,70.4,70.4,B급 (매수 고려),15810.0,상승추세,2025-12-01
084670,동양고속,70.1,70.1,B급 (매수 고려),12650.0,2단계 초기,2025-12-01
194370,제이에스코퍼레이션,92.9,92.9,S급 (즉시 매수),12100.0,2단계 중기,2025-12-02
353810,이지바이오,88.6,88.6,A급 (적극 매수),6460.0,2단계 중기,2025-12-02
006620,동구바이오제약,84.7,84.7,A급 (적극 매수),6090.0,2단계 중기,2025-12-02
093320,케이아이엔엑스,82.5,82.5,A급 (적극 매수),104400.0,2단계 중기,2025-12-02
314130,지놈앤컴퍼니,79.5,79.5,B급 (매수 고려),3760.0,2단계 중기,2025-12-02
000950,전방,77.4,77.4,B급 (매수 고려),37600.0,2단계 중기,2025-12-02
214370,케어젠,77.3,77.3,B급 (매수 고려),77000.0,2단계 중기,2025-12-02
100790,미래에셋벤처투자,77.1,77.1,B급 (매수 고려),9450.0,2단계 중기,2025-12-02
010400,우진아이엔에스,76.3,76.3,B급 (매수 고려),3920.0,2단계 중기,2025-12-02
002025,코오롱우,75.7,75.7,B급 (매수 고려),28050.0,2단계 중기,2025-12-02
066620,국보디자인,75.4,75.4,B급 (매수 고려),22100.0,2단계 초기,2025-12-02
