ticker,name,composite_score,grade,strategy_type,swing_score,trend_score,setup_type,sd_score,sd_stage,inst_score,inst_pct,insider,tech_score,rsi,macd_hist,ma_signal,fund_score,pe,revenue_growth,size,analyst_score,target_upside,recommendation,rs_score,rs_vs_spy_20d,current_price,sector,next_earnings,days_to_earnings,rank
AKAM,"Akamai Technologies, Inc.",73.5,🌟 A급 (적극 매수),Swing 🚀,82.6,64.5,🚀 Breakout / Momentum,80,Strong Accumulation,65,102.2,Neutral,75,62.4,0.163,Bullish,55,37.95,7.4,Large Cap,75,-6.1,buy,90,19.0,116.52,Information Technology,2026-05-08,,1
LNT,Alliant Energy Corporation,70.6,🌟 A급 (적극 매수),Swing 🚀,72.4,71.8,🚀 Breakout / Momentum,50,Neutral,65,91.45,Neutral,82,62.2,0.063,Bullish,70,23.14,9.0,Large Cap,78,3.9,buy,80,5.5,72.64,Utilities,2026-05-08,,2
T,AT&T Inc.,69.5,📈 B급 (매수 고려),Swing 🚀,70.0,67.7,📉 Pullback (Buy Dip),75,Strong Accumulation,60,67.94,Neutral,68,50.7,-0.049,Bullish,75,9.28,3.6,Large Cap,80,8.0,buy,73,1.1,28.21,Communication Services,2026-04-22,,3
ACGL,Arch Capital Group Ltd.,68.8,📈 B급 (매수 고려),Trend 📈,66.0,68.8,⚖️ Base / Neutral,50,Neutral,65,94.23,Neutral,66,55.2,0.383,Neutral,75,8.31,8.5,Large Cap,83,13.4,buy,66,3.0,96.4,Financials,2026-04-29,,4
AEE,Ameren Corporation,68.8,📈 B급 (매수 고려),Swing 🚀,72.1,68.4,📉 Pullback (Buy Dip),50,Neutral,65,85.5,Neutral,88,59.4,0.03,Bullish,55,20.82,-8.8,Large Cap,78,5.0,buy,73,4.4,111.41,Utilities,2026-05-06,,5
AEP,"American Electric Power Company, Inc.",67.8,📈 B급 (매수 고려),Trend 📈,66.1,69.4,📉 Pullback (Buy Dip),50,Neutral,65,84.6,Neutral,68,58.9,-0.088,Bullish,75,19.86,13.2,Large Cap,78,3.9,buy,73,3.9,132.28,Utilities,2026-05-05,,6
AXP,American Express Company,67.4,📈 B급 (매수 고려),Trend 📈,59.7,69.4,⚖️ Base / Neutral,50,Neutral,60,64.9,Neutral,68,42.1,2.126,Neutral,80,19.52,10.6,Mega Cap,90,23.9,buy,43,1.4,300.09,Financials,2026-04-23,,7
AIZ,"Assurant, Inc.",67.4,📈 B급 (매수 고려),Trend 📈,61.2,68.8,⚖️ Base / Neutral,50,Neutral,65,97.46,Neutral,66,47.0,0.566,Neutral,75,12.85,7.9,Large Cap,85,20.1,buy,50,-0.5,217.62,Financials,2026-05-06,,8
APD,"Air Products and Chemicals, Inc.",66.7,📈 B급 (매수 고려),Swing 🚀,73.3,61.0,🚀 Breakout / Momentum,50,Neutral,65,93.42,Neutral,75,64.1,0.67,Bullish,45,N/A,5.8,Large Cap,80,4.4,buy,90,10.7,293.79,Materials,2026-04-30,,9
ALB,Albemarle Corporation,65.6,📈 B급 (매수 고려),Swing 🚀,70.6,60.0,⚖️ Base / Neutral,50,Neutral,65,94.76,Neutral,66,55.7,1.327,Neutral,50,N/A,15.9,Large Cap,80,5.7,buy,90,12.9,178.54,Materials,2026-04-30,,10
APO,"Apollo Global Management, Inc.",64.9,📈 B급 (매수 고려),Trend 📈,54.3,66.4,🐻 Downtrend,50,Neutral,60,67.92,Neutral,58,40.9,0.757,Bearish,80,19.34,87.7,Large Cap,93,42.9,buy,35,-0.1,106.97,Financials,2026-05-06,,11
AMD,"Advanced Micro Devices, Inc.",64.2,📈 B급 (매수 고려),Swing 🚀,64.3,60.0,⚖️ Base / Neutral,50,Neutral,60,72.23,Neutral,66,57.4,1.786,Neutral,55,83.16,34.1,Mega Cap,95,33.4,buy,75,12.5,217.06,Information Technology,2026-05-06,,12
AAPL,Apple Inc.,63.8,📈 B급 (매수 고려),Trend 📈,59.2,65.3,⚖️ Base / Neutral,50,Neutral,60,65.2,Neutral,66,49.2,0.737,Neutral,70,32.29,15.7,Mega Cap,85,15.7,buy,58,1.7,255.09,Information Technology,2026-05-01,,13
AMAT,"Applied Materials, Inc.",63.7,📈 B급 (매수 고려),Swing 🚀,64.3,60.6,📉 Pullback (Buy Dip),50,Neutral,65,85.41,Neutral,68,50.4,-1.56,Bullish,50,35.75,-2.1,Mega Cap,85,18.0,buy,73,4.4,348.89,Information Technology,2026-05-15,,14
AMZN,"Amazon.com, Inc.",62.9,📈 B급 (매수 고려),Trend 📈,58.5,62.3,🐻 Downtrend,50,Neutral,60,67.25,Neutral,56,48.9,0.389,Bearish,70,29.12,13.6,Mega Cap,75,34.5,strong_buy,50,-0.8,209.09,Consumer Discretionary,2026-05-01,,15
APA,APA Corporation,61.9,📈 B급 (매수 고려),Swing 🚀,67.4,65.9,🚀 Breakout / Momentum,80,Strong Accumulation,65,99.33,Neutral,68,71.1,0.123,Bullish,65,10.52,-28.0,Large Cap,40,-13.0,hold,90,33.3,41.98,Energy,2026-05-07,,16
GOOGL,Alphabet Inc.,59.0,📊 C급 (관망),Trend 📈,52.5,66.2,🐻 Downtrend,50,Neutral,65,80.78,Neutral,63,47.2,0.006,Bearish,70,27.32,18.0,Mega Cap,70,27.7,strong_buy,58,1.8,295.06,Communication Services,2026-04-24,,17
APP,AppLovin Corporation,58.0,📊 C급 (관망),Trend 📈,40.0,62.5,🐻 Downtrend,50,Neutral,65,81.1,Neutral,45,38.7,-5.537,Bearish,75,38.3,65.9,Large Cap,95,67.8,buy,15,-20.6,384.93,Information Technology,2026-05-07,,18
GOOG,Alphabet Inc.,57.8,📊 C급 (관망),Trend 📈,52.5,64.4,🐻 Downtrend,50,Neutral,60,60.91,Neutral,63,46.4,0.016,Bearish,70,27.13,18.0,Mega Cap,68,22.5,strong_buy,58,1.3,293.51,Communication Services,2026-04-24,,19
ANET,"Arista Networks, Inc.",55.6,📊 C급 (관망),Trend 📈,46.9,56.6,🐻 Downtrend,50,Neutral,60,70.75,Neutral,43,46.4,-0.903,Bearish,65,45.99,28.9,Large Cap,75,39.5,strong_buy,40,-5.6,126.47,Information Technology,2026-05-06,,20
