ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
MMM,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AOS,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ABT,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ABBV,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ACN,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ADBE,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMD,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AES,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AFL,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
A,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
APD,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ABNB,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AKAM,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ALB,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ARE,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ALGN,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ALLE,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
LNT,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ALL,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
GOOGL,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
GOOG,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
MO,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMZN,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMCR,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AEE,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AEP,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AXP,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AIG,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMT,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AWK,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMP,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AME,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMGN,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
APH,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ADI,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AON,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
APA,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
APO,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AAPL,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AMAT,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
APP,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
APTV,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ACGL,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ADM,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ARES,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ANET,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AJG,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
AIZ,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
T,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
ATO,0,0,0,0,0,0,0,Neutral,40,Institutional Concern
