ticker,name,date,obv,obv_change_20d,ad_line,ad_change_20d,mfi,vol_ratio_5d_20d,surge_count_5d,surge_count_20d,supply_demand_score,supply_demand_stage
A,A,2026-03-30,91071396.0,-4.53,42832883.83130123,-17.2,53.4,0.72,0,0,35,Distribution
AAPL,AAPL,2026-03-30,3195015403.0,-8.9,6432145586.603084,-0.98,43.4,0.99,0,1,40,Distribution
ABBV,ABBV,2026-03-30,558173612.0,-8.83,467881197.8394506,-2.5,27.5,0.66,0,1,30,Distribution
ABNB,ABNB,2026-03-30,64759250.0,-5.52,218061398.18960485,-3.28,41.3,0.9,0,0,40,Distribution
ABT,ABT,2026-03-30,155959373.0,-50.67,199941254.55642995,-35.79,12.2,0.68,0,1,10,Strong Distribution
ACGL,ACGL,2026-03-30,335229378.0,0.14,112570998.08737211,-4.06,37.2,1.07,0,1,50,Neutral
ACN,ACN,2026-03-30,-6398075.0,-121.82,73420717.08792642,-35.23,69.3,0.57,0,1,15,Strong Distribution
ADBE,ADBE,2026-03-30,-94735897.0,-13.05,52686145.78017758,-21.33,19.9,0.75,0,3,15,Strong Distribution
ADI,ADI,2026-03-30,202873746.0,-12.45,197892949.6014337,-7.97,46.8,0.9,0,0,25,Strong Distribution
ADM,ADM,2026-03-30,166516763.0,-5.07,20964665.83493883,-29.94,55.6,0.77,0,3,25,Strong Distribution
ADP,ADP,2026-03-30,13012765.0,-49.9,106195871.75983974,-15.05,26.4,0.73,0,1,15,Strong Distribution
ADSK,ADSK,2026-03-30,54962449.0,-6.24,51323735.189067125,-1.02,27.8,0.9,0,1,35,Distribution
AEE,AEE,2026-03-30,99081938.0,5.22,84121081.9581971,-0.23,60.0,0.71,0,1,60,Accumulation
AEP,AEP,2026-03-30,261352253.0,-1.03,179215430.51938725,-1.39,53.2,0.85,0,1,50,Neutral
AES,AES,2026-03-30,41620707.0,-65.54,-338915193.57078975,-35.14,43.5,0.86,0,1,20,Strong Distribution
AFL,AFL,2026-03-30,305948525.0,0.02,101839288.7199937,-6.61,45.3,0.9,0,1,40,Distribution
AIG,AIG,2026-03-30,349785233.0,-3.37,-179842332.27498472,-9.38,49.9,0.98,0,0,40,Distribution
